id,year_month,healthboard,department_type,attendance_greater8hrs,attendance_greater12hrs,diff_between_target_met_agg,diff_between_target_met_ep
51,2007 Jul,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
52,2007 Jul,NHS Highland,Minor Injury Unit or Other,NA,NA,3,NA
53,2007 Jul,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
54,2007 Jul,NHS Highland,Minor Injury Unit or Other,NA,NA,1,NA
55,2007 Jul,NHS Highland,Minor Injury Unit or Other,NA,NA,6,NA
56,2007 Jul,NHS Highland,Minor Injury Unit or Other,NA,NA,2,NA
57,2007 Jul,NHS Highland,Emergency Department,NA,NA,5,NA
58,2007 Jul,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
59,2007 Jul,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
60,2007 Jul,NHS Highland,Emergency Department,NA,NA,8,NA
61,2007 Jul,NHS Highland,Minor Injury Unit or Other,NA,NA,1,NA
62,2007 Jul,NHS Highland,Emergency Department,3,1,65,65
63,2007 Jul,NHS Highland,Minor Injury Unit or Other,NA,NA,1,NA
64,2007 Jul,NHS Highland,Minor Injury Unit or Other,NA,NA,2,NA
65,2007 Jul,NHS Highland,Emergency Department,NA,NA,17,NA
66,2007 Jul,NHS Highland,Minor Injury Unit or Other,NA,NA,4,NA
67,2007 Jul,NHS Highland,Minor Injury Unit or Other,NA,NA,1,NA
68,2007 Jul,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
69,2007 Jul,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
70,2007 Jul,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
71,2007 Jul,NHS Lanarkshire,Emergency Department,3,0,219,219
72,2007 Jul,NHS Lanarkshire,Minor Injury Unit or Other,NA,NA,0,NA
73,2007 Jul,NHS Lanarkshire,Minor Injury Unit or Other,NA,NA,0,NA
74,2007 Jul,NHS Lanarkshire,Minor Injury Unit or Other,NA,NA,0,NA
75,2007 Jul,NHS Lanarkshire,Minor Injury Unit or Other,NA,NA,0,NA
76,2007 Jul,NHS Lanarkshire,Emergency Department,87,45,275,275
77,2007 Jul,NHS Lanarkshire,Emergency Department,87,45,275,275
78,2007 Jul,NHS Lanarkshire,Emergency Department,44,20,204,204
79,2007 Jul,NHS Lothian,Minor Injury Unit or Other,4,0,161,161
80,2007 Jul,NHS Lothian,Emergency Department,2,0,258,258
81,2007 Jul,NHS Lothian,Emergency Department,19,0,479,479
82,2007 Jul,NHS Lothian,Emergency Department,0,0,17,17
83,2007 Jul,NHS Orkney,Minor Injury Unit or Other,NA,NA,0,NA
84,2007 Jul,NHS Shetland,Emergency Department,0,0,11,11
85,2007 Jul,NHS Tayside,Emergency Department,0,0,13,13
86,2007 Jul,NHS Tayside,Emergency Department,0,0,13,13
87,2007 Jul,NHS Tayside,Emergency Department,0,0,16,16
88,2007 Jul,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
89,2007 Jul,NHS Tayside,Minor Injury Unit or Other,0,0,1,1
90,2007 Jul,NHS Tayside,Minor Injury Unit or Other,0,0,1,1
91,2007 Jul,NHS Tayside,Minor Injury Unit or Other,0,0,1,1
92,2007 Jul,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
93,2007 Jul,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
94,2007 Jul,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
95,2007 Jul,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
96,2007 Jul,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
97,2007 Jul,NHS Western Isles,Minor Injury Unit or Other,NA,NA,0,NA
98,2007 Jul,NHS Western Isles,Emergency Department,1,0,14,14
99,2007 Jul,NHS Western Isles,Minor Injury Unit or Other,NA,NA,0,NA
100,2007 Aug,NHS Ayrshire and Arran,Minor Injury Unit or Other,NA,NA,0,NA
101,2007 Aug,NHS Ayrshire and Arran,Emergency Department,5,3,147,147
102,2007 Aug,NHS Ayrshire and Arran,Minor Injury Unit or Other,NA,NA,0,NA
103,2007 Aug,NHS Ayrshire and Arran,Emergency Department,1,0,170,170
104,2007 Aug,NHS Borders,Minor Injury Unit or Other,NA,NA,0,NA
105,2007 Aug,NHS Borders,Minor Injury Unit or Other,NA,NA,0,NA
106,2007 Aug,NHS Borders,Minor Injury Unit or Other,NA,NA,0,NA
107,2007 Aug,NHS Borders,Minor Injury Unit or Other,NA,NA,0,NA
108,2007 Aug,NHS Borders,Emergency Department,0,0,12,12
109,2007 Aug,NHS Dumfries and Galloway,Minor Injury Unit or Other,NA,NA,0,NA
110,2007 Aug,NHS Dumfries and Galloway,Minor Injury Unit or Other,NA,NA,0,NA
111,2007 Aug,NHS Dumfries and Galloway,Minor Injury Unit or Other,NA,NA,0,NA
112,2007 Aug,NHS Dumfries and Galloway,Minor Injury Unit or Other,NA,NA,0,NA
113,2007 Aug,NHS Dumfries and Galloway,Emergency Department,NA,NA,21,NA
114,2007 Aug,NHS Dumfries and Galloway,Emergency Department,2,0,107,107
115,2007 Aug,NHS Fife,Emergency Department,8,3,132,132
116,2007 Aug,NHS Fife,Minor Injury Unit or Other,NA,NA,0,NA
117,2007 Aug,NHS Fife,Minor Injury Unit or Other,NA,NA,1,NA
118,2007 Aug,NHS Fife,Emergency Department,3,0,107,107
119,2007 Aug,NHS Forth Valley,Minor Injury Unit or Other,0,0,2,2
120,2007 Aug,NHS Forth Valley,Emergency Department,10,0,315,315
121,2007 Aug,NHS Grampian,Emergency Department,5,1,160,160
122,2007 Aug,NHS Grampian,Emergency Department,0,0,10,10
123,2007 Aug,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
124,2007 Aug,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
125,2007 Aug,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
126,2007 Aug,NHS Grampian,Minor Injury Unit or Other,NA,NA,1,NA
127,2007 Aug,NHS Grampian,Minor Injury Unit or Other,NA,NA,4,NA
128,2007 Aug,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
129,2007 Aug,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
130,2007 Aug,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
131,2007 Aug,NHS Grampian,Emergency Department,6,0,114,114
132,2007 Aug,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
133,2007 Aug,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
134,2007 Aug,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
135,2007 Aug,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
136,2007 Aug,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
137,2007 Aug,NHS Grampian,Minor Injury Unit or Other,0,0,0,0
138,2007 Aug,NHS Greater Glasgow and Clyde,Minor Injury Unit or Other,0,0,19,19
139,2007 Aug,NHS Greater Glasgow and Clyde,Minor Injury Unit or Other,0,0,19,19
140,2007 Aug,NHS Greater Glasgow and Clyde,Emergency Department,0,0,59,59
141,2007 Aug,NHS Greater Glasgow and Clyde,Emergency Department,0,0,59,59
142,2007 Aug,NHS Greater Glasgow and Clyde,Emergency Department,2,0,143,143
143,2007 Aug,NHS Greater Glasgow and Clyde,Emergency Department,2,0,143,143
144,2007 Aug,NHS Greater Glasgow and Clyde,Emergency Department,9,2,367,367
145,2007 Aug,NHS Greater Glasgow and Clyde,Emergency Department,23,4,279,279
146,2007 Aug,NHS Greater Glasgow and Clyde,Emergency Department,2,0,120,120
147,2007 Aug,NHS Greater Glasgow and Clyde,Emergency Department,7,0,349,349
148,2007 Aug,NHS Greater Glasgow and Clyde,Emergency Department,2,1,45,45
149,2007 Aug,NHS Greater Glasgow and Clyde,Emergency Department,26,3,444,444
150,2007 Aug,NHS Highland,Minor Injury Unit or Other,NA,NA,1,NA
151,2007 Aug,NHS Highland,Minor Injury Unit or Other,NA,NA,1,NA
152,2007 Aug,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
153,2007 Aug,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
154,2007 Aug,NHS Highland,Minor Injury Unit or Other,NA,NA,6,NA
155,2007 Aug,NHS Highland,Minor Injury Unit or Other,NA,NA,1,NA
156,2007 Aug,NHS Highland,Emergency Department,NA,NA,2,NA
157,2007 Aug,NHS Highland,Minor Injury Unit or Other,NA,NA,1,NA
158,2007 Aug,NHS Highland,Minor Injury Unit or Other,NA,NA,1,NA
159,2007 Aug,NHS Highland,Emergency Department,NA,NA,5,NA
160,2007 Aug,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
161,2007 Aug,NHS Highland,Emergency Department,3,0,88,88
162,2007 Aug,NHS Highland,Minor Injury Unit or Other,NA,NA,2,NA
163,2007 Aug,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
164,2007 Aug,NHS Highland,Emergency Department,NA,NA,15,NA
165,2007 Aug,NHS Highland,Minor Injury Unit or Other,NA,NA,17,NA
166,2007 Aug,NHS Highland,Minor Injury Unit or Other,NA,NA,4,NA
167,2007 Aug,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
168,2007 Aug,NHS Highland,Minor Injury Unit or Other,NA,NA,1,NA
169,2007 Aug,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
170,2007 Aug,NHS Lanarkshire,Emergency Department,6,0,194,194
171,2007 Aug,NHS Lanarkshire,Minor Injury Unit or Other,NA,NA,0,NA
172,2007 Aug,NHS Lanarkshire,Minor Injury Unit or Other,NA,NA,0,NA
173,2007 Aug,NHS Lanarkshire,Minor Injury Unit or Other,NA,NA,0,NA
174,2007 Aug,NHS Lanarkshire,Minor Injury Unit or Other,NA,NA,0,NA
175,2007 Aug,NHS Lanarkshire,Emergency Department,20,6,116,116
176,2007 Aug,NHS Lanarkshire,Emergency Department,20,6,116,116
177,2007 Aug,NHS Lanarkshire,Emergency Department,2,0,83,83
178,2007 Aug,NHS Lothian,Minor Injury Unit or Other,8,0,188,188
179,2007 Aug,NHS Lothian,Emergency Department,1,0,124,124
180,2007 Aug,NHS Lothian,Emergency Department,56,1,853,853
181,2007 Aug,NHS Lothian,Emergency Department,0,0,28,28
182,2007 Aug,NHS Orkney,Minor Injury Unit or Other,NA,NA,0,NA
183,2007 Aug,NHS Shetland,Emergency Department,1,1,18,18
184,2007 Aug,NHS Tayside,Emergency Department,1,0,32,32
185,2007 Aug,NHS Tayside,Emergency Department,1,0,32,32
186,2007 Aug,NHS Tayside,Emergency Department,0,0,19,19
187,2007 Aug,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
188,2007 Aug,NHS Tayside,Minor Injury Unit or Other,0,0,2,2
189,2007 Aug,NHS Tayside,Minor Injury Unit or Other,0,0,1,1
190,2007 Aug,NHS Tayside,Minor Injury Unit or Other,0,0,1,1
191,2007 Aug,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
192,2007 Aug,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
193,2007 Aug,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
194,2007 Aug,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
195,2007 Aug,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
196,2007 Aug,NHS Western Isles,Minor Injury Unit or Other,NA,NA,1,NA
197,2007 Aug,NHS Western Isles,Emergency Department,0,0,25,25
198,2007 Aug,NHS Western Isles,Minor Injury Unit or Other,NA,NA,0,NA
199,2007 Sep,NHS Ayrshire and Arran,Minor Injury Unit or Other,NA,NA,0,NA
200,2007 Sep,NHS Ayrshire and Arran,Emergency Department,0,0,73,73
201,2007 Sep,NHS Ayrshire and Arran,Minor Injury Unit or Other,NA,NA,0,NA
202,2007 Sep,NHS Ayrshire and Arran,Emergency Department,0,0,113,113
203,2007 Sep,NHS Borders,Minor Injury Unit or Other,NA,NA,0,NA
204,2007 Sep,NHS Borders,Minor Injury Unit or Other,NA,NA,0,NA
205,2007 Sep,NHS Borders,Minor Injury Unit or Other,NA,NA,0,NA
206,2007 Sep,NHS Borders,Minor Injury Unit or Other,NA,NA,0,NA
207,2007 Sep,NHS Borders,Emergency Department,0,0,12,12
208,2007 Sep,NHS Dumfries and Galloway,Minor Injury Unit or Other,NA,NA,0,NA
209,2007 Sep,NHS Dumfries and Galloway,Minor Injury Unit or Other,NA,NA,0,NA
210,2007 Sep,NHS Dumfries and Galloway,Minor Injury Unit or Other,NA,NA,0,NA
211,2007 Sep,NHS Dumfries and Galloway,Minor Injury Unit or Other,NA,NA,0,NA
212,2007 Sep,NHS Dumfries and Galloway,Emergency Department,NA,NA,18,NA
213,2007 Sep,NHS Dumfries and Galloway,Emergency Department,0,0,74,74
214,2007 Sep,NHS Fife,Emergency Department,12,1,191,191
215,2007 Sep,NHS Fife,Minor Injury Unit or Other,NA,NA,0,NA
216,2007 Sep,NHS Fife,Minor Injury Unit or Other,NA,NA,1,NA
217,2007 Sep,NHS Fife,Emergency Department,3,1,104,104
218,2007 Sep,NHS Forth Valley,Minor Injury Unit or Other,0,0,5,5
219,2007 Sep,NHS Forth Valley,Emergency Department,10,0,289,289
220,2007 Sep,NHS Grampian,Emergency Department,16,4,208,208
221,2007 Sep,NHS Grampian,Emergency Department,0,0,6,6
222,2007 Sep,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
223,2007 Sep,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
224,2007 Sep,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
225,2007 Sep,NHS Grampian,Minor Injury Unit or Other,NA,NA,1,NA
226,2007 Sep,NHS Grampian,Minor Injury Unit or Other,NA,NA,3,NA
227,2007 Sep,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
228,2007 Sep,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
229,2007 Sep,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
230,2007 Sep,NHS Grampian,Emergency Department,6,1,125,125
231,2007 Sep,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
232,2007 Sep,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
233,2007 Sep,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
234,2007 Sep,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
235,2007 Sep,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
236,2007 Sep,NHS Grampian,Minor Injury Unit or Other,0,0,0,0
237,2007 Sep,NHS Greater Glasgow and Clyde,Minor Injury Unit or Other,0,0,6,6
238,2007 Sep,NHS Greater Glasgow and Clyde,Minor Injury Unit or Other,0,0,6,6
239,2007 Sep,NHS Greater Glasgow and Clyde,Emergency Department,0,0,35,35
240,2007 Sep,NHS Greater Glasgow and Clyde,Emergency Department,0,0,35,35
241,2007 Sep,NHS Greater Glasgow and Clyde,Emergency Department,7,0,209,209
242,2007 Sep,NHS Greater Glasgow and Clyde,Emergency Department,7,0,209,209
243,2007 Sep,NHS Greater Glasgow and Clyde,Emergency Department,18,4,401,401
244,2007 Sep,NHS Greater Glasgow and Clyde,Emergency Department,3,0,148,148
245,2007 Sep,NHS Greater Glasgow and Clyde,Emergency Department,1,0,126,126
246,2007 Sep,NHS Greater Glasgow and Clyde,Emergency Department,3,0,189,189
247,2007 Sep,NHS Greater Glasgow and Clyde,Emergency Department,1,1,45,45
248,2007 Sep,NHS Greater Glasgow and Clyde,Emergency Department,15,3,324,324
249,2007 Sep,NHS Highland,Minor Injury Unit or Other,NA,NA,4,NA
250,2007 Sep,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
251,2007 Sep,NHS Highland,Minor Injury Unit or Other,NA,NA,2,NA
252,2007 Sep,NHS Highland,Minor Injury Unit or Other,NA,NA,2,NA
253,2007 Sep,NHS Highland,Minor Injury Unit or Other,NA,NA,4,NA
254,2007 Sep,NHS Highland,Minor Injury Unit or Other,NA,NA,1,NA
255,2007 Sep,NHS Highland,Emergency Department,NA,NA,5,NA
256,2007 Sep,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
257,2007 Sep,NHS Highland,Emergency Department,NA,NA,3,NA
258,2007 Sep,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
259,2007 Sep,NHS Highland,Emergency Department,1,0,55,55
260,2007 Sep,NHS Highland,Minor Injury Unit or Other,NA,NA,1,NA
261,2007 Sep,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
262,2007 Sep,NHS Highland,Emergency Department,NA,NA,12,NA
263,2007 Sep,NHS Highland,Minor Injury Unit or Other,NA,NA,7,NA
264,2007 Sep,NHS Highland,Minor Injury Unit or Other,NA,NA,1,NA
265,2007 Sep,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
266,2007 Sep,NHS Highland,Minor Injury Unit or Other,NA,NA,1,NA
267,2007 Sep,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
268,2007 Sep,NHS Lanarkshire,Emergency Department,4,0,111,111
269,2007 Sep,NHS Lanarkshire,Minor Injury Unit or Other,NA,NA,0,NA
270,2007 Sep,NHS Lanarkshire,Minor Injury Unit or Other,NA,NA,0,NA
271,2007 Sep,NHS Lanarkshire,Minor Injury Unit or Other,NA,NA,0,NA
272,2007 Sep,NHS Lanarkshire,Minor Injury Unit or Other,NA,NA,0,NA
273,2007 Sep,NHS Lanarkshire,Emergency Department,50,27,222,222
274,2007 Sep,NHS Lanarkshire,Emergency Department,50,27,222,222
275,2007 Sep,NHS Lanarkshire,Emergency Department,5,0,91,91
276,2007 Sep,NHS Lothian,Minor Injury Unit or Other,11,1,216,216
277,2007 Sep,NHS Lothian,Emergency Department,2,0,62,62
278,2007 Sep,NHS Lothian,Emergency Department,27,1,658,658
279,2007 Sep,NHS Lothian,Emergency Department,0,0,22,22
280,2007 Sep,NHS Orkney,Minor Injury Unit or Other,NA,NA,0,NA
281,2007 Sep,NHS Shetland,Emergency Department,3,2,22,22
282,2007 Sep,NHS Tayside,Emergency Department,0,0,27,27
283,2007 Sep,NHS Tayside,Emergency Department,0,0,27,27
284,2007 Sep,NHS Tayside,Emergency Department,1,0,24,24
285,2007 Sep,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
286,2007 Sep,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
287,2007 Sep,NHS Tayside,Minor Injury Unit or Other,0,0,1,1
288,2007 Sep,NHS Tayside,Minor Injury Unit or Other,0,0,1,1
289,2007 Sep,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
290,2007 Sep,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
291,2007 Sep,NHS Tayside,Minor Injury Unit or Other,0,0,2,2
292,2007 Sep,NHS Tayside,Minor Injury Unit or Other,0,0,2,2
293,2007 Sep,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
294,2007 Sep,NHS Western Isles,Minor Injury Unit or Other,NA,NA,0,NA
295,2007 Sep,NHS Western Isles,Emergency Department,0,0,25,25
296,2007 Sep,NHS Western Isles,Minor Injury Unit or Other,NA,NA,0,NA
297,2007 Oct,NHS Ayrshire and Arran,Minor Injury Unit or Other,NA,NA,0,NA
298,2007 Oct,NHS Ayrshire and Arran,Minor Injury Unit or Other,NA,NA,0,NA
299,2007 Oct,NHS Ayrshire and Arran,Emergency Department,3,1,107,107
300,2007 Oct,NHS Ayrshire and Arran,Minor Injury Unit or Other,NA,NA,0,NA
301,2007 Oct,NHS Ayrshire and Arran,Emergency Department,1,0,148,148
302,2007 Oct,NHS Borders,Minor Injury Unit or Other,NA,NA,0,NA
303,2007 Oct,NHS Borders,Minor Injury Unit or Other,NA,NA,0,NA
304,2007 Oct,NHS Borders,Minor Injury Unit or Other,NA,NA,0,NA
305,2007 Oct,NHS Borders,Minor Injury Unit or Other,NA,NA,0,NA
306,2007 Oct,NHS Borders,Emergency Department,0,0,17,17
307,2007 Oct,NHS Dumfries and Galloway,Minor Injury Unit or Other,NA,NA,0,NA
308,2007 Oct,NHS Dumfries and Galloway,Minor Injury Unit or Other,NA,NA,0,NA
309,2007 Oct,NHS Dumfries and Galloway,Minor Injury Unit or Other,NA,NA,0,NA
310,2007 Oct,NHS Dumfries and Galloway,Minor Injury Unit or Other,NA,NA,0,NA
311,2007 Oct,NHS Dumfries and Galloway,Emergency Department,NA,NA,23,NA
312,2007 Oct,NHS Dumfries and Galloway,Emergency Department,1,0,36,36
313,2007 Oct,NHS Fife,Emergency Department,1,0,97,97
314,2007 Oct,NHS Fife,Minor Injury Unit or Other,NA,NA,0,NA
315,2007 Oct,NHS Fife,Minor Injury Unit or Other,NA,NA,0,NA
316,2007 Oct,NHS Fife,Emergency Department,3,0,83,83
317,2007 Oct,NHS Forth Valley,Minor Injury Unit or Other,0,0,2,2
318,2007 Oct,NHS Forth Valley,Emergency Department,3,0,78,78
319,2007 Oct,NHS Grampian,Emergency Department,9,1,135,135
320,2007 Oct,NHS Grampian,Emergency Department,0,0,1,1
321,2007 Oct,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
322,2007 Oct,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
323,2007 Oct,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
324,2007 Oct,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
325,2007 Oct,NHS Grampian,Minor Injury Unit or Other,NA,NA,4,NA
326,2007 Oct,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
327,2007 Oct,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
328,2007 Oct,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
329,2007 Oct,NHS Grampian,Emergency Department,0,0,43,43
330,2007 Oct,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
331,2007 Oct,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
332,2007 Oct,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
333,2007 Oct,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
334,2007 Oct,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
335,2007 Oct,NHS Grampian,Minor Injury Unit or Other,0,0,0,0
336,2007 Oct,NHS Greater Glasgow and Clyde,Minor Injury Unit or Other,0,0,3,3
337,2007 Oct,NHS Greater Glasgow and Clyde,Minor Injury Unit or Other,0,0,3,3
338,2007 Oct,NHS Greater Glasgow and Clyde,Emergency Department,0,0,55,55
339,2007 Oct,NHS Greater Glasgow and Clyde,Emergency Department,0,0,55,55
340,2007 Oct,NHS Greater Glasgow and Clyde,Emergency Department,4,0,218,218
341,2007 Oct,NHS Greater Glasgow and Clyde,Emergency Department,4,0,218,218
342,2007 Oct,NHS Greater Glasgow and Clyde,Emergency Department,15,0,388,388
343,2007 Oct,NHS Greater Glasgow and Clyde,Emergency Department,1,0,143,143
344,2007 Oct,NHS Greater Glasgow and Clyde,Emergency Department,2,1,112,112
345,2007 Oct,NHS Greater Glasgow and Clyde,Emergency Department,3,0,176,176
346,2007 Oct,NHS Greater Glasgow and Clyde,Emergency Department,0,0,67,67
347,2007 Oct,NHS Greater Glasgow and Clyde,Emergency Department,21,3,394,394
348,2007 Oct,NHS Highland,Minor Injury Unit or Other,NA,NA,1,NA
349,2007 Oct,NHS Highland,Minor Injury Unit or Other,NA,NA,1,NA
350,2007 Oct,NHS Highland,Minor Injury Unit or Other,NA,NA,1,NA
351,2007 Oct,NHS Highland,Minor Injury Unit or Other,NA,NA,9,NA
352,2007 Oct,NHS Highland,Minor Injury Unit or Other,NA,NA,5,NA
353,2007 Oct,NHS Highland,Minor Injury Unit or Other,NA,NA,1,NA
