year_month,year,month,country,treatment_location,healthboard,hscp_name,location_name,department_type,number_of_attendances_aggregate,number_of_attendances_episode,number_meeting_target_aggregate,number_meeting_target_episode,discharge_destination_admission_to_same,discharge_destination_other_specialty,discharge_destination_residence,discharge_destination_transfer,discharge_destination_unknown,attendance_greater8hrs,attendance_greater12hrs,x_coordinate,y_coordinate,percent_target_met,percent_target_met_ep
2007-07,2007,July,Scotland,V201H,NHS Forth Valley,Clackmannanshire and Stirling,Stirling Community Hospital,Emergency Department,4195,4195,4003,4003,1133,14,2421,34,593,5,1,279698,692139,0.9542312276519667,0.9542312276519667
2007-07,2007,July,Scotland,N101H,NHS Grampian,Aberdeen City,Aberdeen Royal Infirmary,Emergency Department,5312,5312,5168,5168,1236,29,3918,97,32,8,0,391789,807053,0.9728915662650602,0.9728915662650602
2007-07,2007,July,Scotland,N121H,NHS Grampian,Aberdeen City,Royal Aberdeen Children's Hospital,Emergency Department,1333,1333,1324,1324,335,0,997,1,0,0,0,391919,806977,0.9932483120780196,0.9932483120780196
2007-07,2007,July,Scotland,N151H,NHS Grampian,Aberdeenshire,Aboyne Hospital,Minor Injury Unit or Other,72,NA,72,NA,NA,NA,NA,NA,NA,NA,NA,353599.9,798620.3,1,NA
2007-07,2007,July,Scotland,N331H,NHS Grampian,Aberdeenshire,Inverurie Hospital,Minor Injury Unit or Other,40,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,377208.2,820724.1,1,NA
2007-07,2007,July,Scotland,N332H,NHS Grampian,Aberdeenshire,Insch & District War Memorial Hosp.,Minor Injury Unit or Other,62,NA,62,NA,NA,NA,NA,NA,NA,NA,NA,363140.5,827937.2,1,NA
2007-07,2007,July,Scotland,N333H,NHS Grampian,Aberdeenshire,Peterhead Community Hospital,Minor Injury Unit or Other,1114,NA,1113,NA,NA,NA,NA,NA,NA,NA,NA,412467,845814,0.9991023339317774,NA
2007-07,2007,July,Scotland,N334H,NHS Grampian,Aberdeenshire,Fraserburgh Hospital,Minor Injury Unit or Other,904,NA,898,NA,NA,NA,NA,NA,NA,NA,NA,398932,866421,0.9933628318584071,NA
2007-07,2007,July,Scotland,N335H,NHS Grampian,Aberdeenshire,Jubilee Hospital,Minor Injury Unit or Other,279,NA,277,NA,NA,NA,NA,NA,NA,NA,NA,352657.9,839486.1,0.992831541218638,NA
2007-07,2007,July,Scotland,N336H,NHS Grampian,Aberdeenshire,Turriff Cottage Hospital,Minor Injury Unit or Other,178,NA,178,NA,NA,NA,NA,NA,NA,NA,NA,373102.8,849752.7,1,NA
2007-07,2007,July,Scotland,N337H,NHS Grampian,Aberdeenshire,Chalmers Hospital,Minor Injury Unit or Other,359,NA,359,NA,NA,NA,NA,NA,NA,NA,NA,368817.4,864465.9,1,NA
2007-07,2007,July,Scotland,N411H,NHS Grampian,Moray,Dr Gray's Hospital,Emergency Department,1925,1925,1850,1850,465,3,1409,22,26,1,1,320593,862526,0.961038961038961,0.961038961038961
2007-07,2007,July,Scotland,N431H,NHS Grampian,Moray,Seafield Hospital,Minor Injury Unit or Other,107,NA,107,NA,NA,NA,NA,NA,NA,NA,NA,341530,864641,1,NA
2007-07,2007,July,Scotland,N432H,NHS Grampian,Moray,Stephen Cottage Hospital,Minor Injury Unit or Other,37,NA,37,NA,NA,NA,NA,NA,NA,NA,NA,332615,840044,1,NA
2007-07,2007,July,Scotland,N433H,NHS Grampian,Moray,Turner Memorial Hospital,Minor Injury Unit or Other,113,NA,113,NA,NA,NA,NA,NA,NA,NA,NA,342894.03,850604.07,1,NA
2007-07,2007,July,Scotland,N434H,NHS Grampian,Moray,Leanchoil Hospital,Minor Injury Unit or Other,62,NA,62,NA,NA,NA,NA,NA,NA,NA,NA,305635,857990,1,NA
2007-07,2007,July,Scotland,N451H,NHS Grampian,Moray,Fleming Cottage Hospital,Minor Injury Unit or Other,32,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,326704,842816,1,NA
2007-07,2007,July,Scotland,N494H,NHS Grampian,Aberdeenshire,Kincardine Community Hospital,Minor Injury Unit or Other,153,153,153,153,0,0,130,23,0,0,0,386065.6,786460.5,1,1
2007-07,2007,July,Scotland,C206H,NHS Greater Glasgow and Clyde,West Dunbartonshire,Vale of Leven General Hospital,Minor Injury Unit or Other,1382,1382,1354,1354,348,3,963,65,3,1,1,238439,680824,0.9797395079594791,0.9797395079594791
2007-07,2007,July,Scotland,C206H,NHS Greater Glasgow and Clyde,West Dunbartonshire,Vale of Leven General Hospital,Minor Injury Unit or Other,1382,1382,1354,1354,348,3,963,65,3,1,1,238439,680824,0.9797395079594791,0.9797395079594791
2007-07,2007,July,Scotland,C313H,NHS Greater Glasgow and Clyde,Inverclyde,Inverclyde Royal Hospital,Emergency Department,2693,2693,2648,2648,550,6,1973,34,130,1,0,224623.63,675929.12,0.9832900111399926,0.9832900111399926
2007-07,2007,July,Scotland,C313H,NHS Greater Glasgow and Clyde,Inverclyde,Inverclyde Royal Hospital,Emergency Department,2693,2693,2648,2648,550,6,1973,34,130,1,0,224623.63,675929.12,0.9832900111399926,0.9832900111399926
2007-07,2007,July,Scotland,C418H,NHS Greater Glasgow and Clyde,Renfrewshire,Royal Alexandra Hospital,Emergency Department,5479,5479,5324,5324,1473,9,3624,58,315,4,0,247423,662910,0.9717101660887023,0.9717101660887023
2007-07,2007,July,Scotland,C418H,NHS Greater Glasgow and Clyde,Renfrewshire,Royal Alexandra Hospital,Emergency Department,5479,5479,5324,5324,1473,9,3624,58,315,4,0,247423,662910,0.9717101660887023,0.9717101660887023
2007-07,2007,July,Scotland,G107H,NHS Greater Glasgow and Clyde,Glasgow City,Glasgow Royal Infirmary,Emergency Department,6200,6200,5951,5951,1697,16,4054,115,318,6,2,260185,665688,0.9598387096774194,0.9598387096774194
2007-07,2007,July,Scotland,G207H,NHS Greater Glasgow and Clyde,Glasgow City,Stobhill Hospital,Emergency Department,3390,3390,3264,3264,1014,2,2203,30,141,1,0,261277,668868,0.9628318584070796,0.9628318584070796
2007-07,2007,July,Scotland,G306H,NHS Greater Glasgow and Clyde,Glasgow City,New Victoria Hospital,Emergency Department,5864,5864,5744,5744,1583,14,4043,137,87,1,0,258200,661808,0.9795361527967258,0.9795361527967258
2007-07,2007,July,Scotland,G405H,NHS Greater Glasgow and Clyde,Glasgow City,Queen Elizabeth University Hospital,Emergency Department,4186,4186,3952,3952,1094,11,2927,38,116,4,0,253769,665746,0.9440993788819876,0.9440993788819876
2007-07,2007,July,Scotland,G513H,NHS Greater Glasgow and Clyde,Glasgow City,Royal Hospital for Children,Emergency Department,2981,2981,2942,2942,524,3,2438,5,11,1,0,253655,665616,0.9869171418986917,0.9869171418986917
2007-07,2007,July,Scotland,G516H,NHS Greater Glasgow and Clyde,Glasgow City,West Glasgow,Emergency Department,5040,5040,4529,4529,1607,19,2917,116,381,40,6,255434,667982,0.8986111111111111,0.8986111111111111
2007-07,2007,July,Scotland,C103B,NHS Highland,NA,NA,Minor Injury Unit or Other,401,NA,401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
2007-07,2007,July,Scotland,C106H,NHS Highland,Argyll and Bute,Cowal Community Hospital,Minor Injury Unit or Other,615,NA,612,NA,NA,NA,NA,NA,NA,NA,NA,217324,677908,0.9951219512195122,NA
2007-07,2007,July,Scotland,C108H,NHS Highland,Argyll and Bute,Islay Hospital,Minor Injury Unit or Other,110,NA,110,NA,NA,NA,NA,NA,NA,NA,NA,131615,659676,1,NA
2007-07,2007,July,Scotland,C110H,NHS Highland,NA,NA,Minor Injury Unit or Other,468,NA,467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9978632478632479,NA
2007-07,2007,July,Scotland,C113H,NHS Highland,Argyll and Bute,Victoria Hospital,Minor Injury Unit or Other,369,NA,363,NA,NA,NA,NA,NA,NA,NA,NA,208723,663909,0.983739837398374,NA
2007-07,2007,July,Scotland,C117J,NHS Highland,NA,NA,Minor Injury Unit or Other,67,NA,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9701492537313433,NA
2007-07,2007,July,Scotland,C121H,NHS Highland,Argyll and Bute,Lorn & Islands Hospital,Emergency Department,616,NA,611,NA,NA,NA,NA,NA,NA,NA,NA,185665,728549,0.9918831168831169,NA
2007-07,2007,July,Scotland,C122H,NHS Highland,Argyll and Bute,Campbeltown Hospital,Minor Injury Unit or Other,211,NA,211,NA,NA,NA,NA,NA,NA,NA,NA,172003,619995,1,NA
2007-07,2007,July,Scotland,H101H,NHS Highland,Highland,Dunbar Hospital,Minor Injury Unit or Other,199,NA,199,NA,NA,NA,NA,NA,NA,NA,NA,310580,967264,1,NA
2007-07,2007,July,Scotland,H103H,NHS Highland,Highland,Caithness General Hospital,Emergency Department,496,NA,488,NA,NA,NA,NA,NA,NA,NA,NA,336130,950861,0.9838709677419355,NA
2007-07,2007,July,Scotland,H106H,NHS Highland,Highland,Lawson Memorial Hospital,Minor Injury Unit or Other,73,NA,72,NA,NA,NA,NA,NA,NA,NA,NA,282528,899920,0.9863013698630136,NA
2007-07,2007,July,Scotland,H202H,NHS Highland,Highland,Raigmore Hospital,Emergency Department,2618,2618,2553,2553,549,18,2051,0,0,3,1,268618,844740,0.9751718869365928,0.9751718869365928
2007-07,2007,July,Scotland,H208H,NHS Highland,Highland,Nairn Town and County Hospital,Minor Injury Unit or Other,281,NA,280,NA,NA,NA,NA,NA,NA,NA,NA,288120,855775,0.99644128113879,NA
2007-07,2007,July,Scotland,H210H,NHS Highland,Highland,Ian Charles Community Hospital,Minor Injury Unit or Other,113,NA,111,NA,NA,NA,NA,NA,NA,NA,NA,303534,828518,0.9823008849557522,NA
2007-07,2007,July,Scotland,H212H,NHS Highland,Highland,Belford Hospital,Emergency Department,896,NA,879,NA,NA,NA,NA,NA,NA,NA,NA,210613,774069,0.9810267857142857,NA
2007-07,2007,July,Scotland,H214H,NHS Highland,Highland,Mackinnon Memorial Hospital,Minor Injury Unit or Other,300,NA,296,NA,NA,NA,NA,NA,NA,NA,NA,164000,823875,0.9866666666666667,NA
2007-07,2007,July,Scotland,H215H,NHS Highland,Highland,Portree Hospital,Minor Injury Unit or Other,153,NA,152,NA,NA,NA,NA,NA,NA,NA,NA,148283,843314,0.9934640522875817,NA
2007-07,2007,July,Scotland,H217H,NHS Highland,Highland,Ross Memorial Hospital,Minor Injury Unit or Other,185,NA,185,NA,NA,NA,NA,NA,NA,NA,NA,255614,858620,1,NA
2007-07,2007,July,Scotland,H219H,NHS Highland,Highland,County Community Hospital Invergordon,Minor Injury Unit or Other,91,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,271838,869426,1,NA
2007-07,2007,July,Scotland,H227B,NHS Highland,NA,NA,Minor Injury Unit or Other,202,NA,202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
2007-07,2007,July,Scotland,L106H,NHS Lanarkshire,North Lanarkshire,University Hospital Monklands,Emergency Department,5662,5662,5443,5443,1537,11,4050,22,42,3,0,274962,665442,0.9613210879547863,0.9613210879547863
2007-07,2007,July,Scotland,L206H,NHS Lanarkshire,South Lanarkshire,Kello Hospital,Minor Injury Unit or Other,165,NA,165,NA,NA,NA,NA,NA,NA,NA,NA,304351,637599,1,NA
2007-07,2007,July,Scotland,L206H,NHS Lanarkshire,South Lanarkshire,Kello Hospital,Minor Injury Unit or Other,165,NA,165,NA,NA,NA,NA,NA,NA,NA,NA,304351,637599,1,NA
2007-07,2007,July,Scotland,L207H,NHS Lanarkshire,South Lanarkshire,Lady Home Cottage Hospital,Minor Injury Unit or Other,166,NA,166,NA,NA,NA,NA,NA,NA,NA,NA,284094,630932,1,NA
2007-07,2007,July,Scotland,L207H,NHS Lanarkshire,South Lanarkshire,Lady Home Cottage Hospital,Minor Injury Unit or Other,166,NA,166,NA,NA,NA,NA,NA,NA,NA,NA,284094,630932,1,NA
2007-07,2007,July,Scotland,L302H,NHS Lanarkshire,South Lanarkshire,University Hospital Hairmyres,Emergency Department,4545,4545,4270,4270,1089,12,3384,12,48,87,45,260668,654078,0.9394939493949395,0.9394939493949395
2007-07,2007,July,Scotland,L302H,NHS Lanarkshire,South Lanarkshire,University Hospital Hairmyres,Emergency Department,4545,4545,4270,4270,1089,12,3384,12,48,87,45,260668,654078,0.9394939493949395,0.9394939493949395
2007-07,2007,July,Scotland,L308H,NHS Lanarkshire,North Lanarkshire,University Hospital Wishaw,Emergency Department,5555,5555,5351,5351,1276,7,4240,15,17,44,20,278294,655081,0.9632763276327633,0.9632763276327633
2007-07,2007,July,Scotland,S116H,NHS Lothian,Edinburgh,Western General Hospital,Minor Injury Unit or Other,2761,2761,2600,2600,914,4,1840,3,0,4,0,323004,674999,0.9416877942774358,0.9416877942774358
2007-07,2007,July,Scotland,S308H,NHS Lothian,West Lothian,St John's Hospital,Emergency Department,3900,3900,3642,3642,841,4,2755,75,225,2,0,305077,667692,0.9338461538461539,0.9338461538461539
2007-07,2007,July,Scotland,S314H,NHS Lothian,Edinburgh,Royal Infirmary of Edinburgh at Little France,Emergency Department,8947,8947,8468,8468,2683,15,6044,205,0,19,0,327699,669148,0.9464625013971164,0.9464625013971164
2007-07,2007,July,Scotland,S319H,NHS Lothian,Edinburgh,Royal Hospital for Children and Young People,Emergency Department,2620,2620,2603,2603,396,1,2218,5,0,0,0,NA,NA,0.9935114503816794,0.9935114503816794
2007-07,2007,July,Scotland,R103H,NHS Orkney,Orkney Islands,The Balfour,Minor Injury Unit or Other,225,NA,225,NA,NA,NA,NA,NA,NA,NA,NA,344590,1010016,1,NA
2007-07,2007,July,Scotland,Z102H,NHS Shetland,Shetland Islands,Gilbert Bain Hospital,Emergency Department,802,802,791,791,125,0,651,3,23,0,0,446981,1141029,0.986284289276808,0.986284289276808
2007-07,2007,July,Scotland,T101H,NHS Tayside,Dundee City,Ninewells Hospital,Emergency Department,3940,3940,3927,3927,854,9,3038,20,19,0,0,339005.12,730389.6,0.9967005076142132,0.9967005076142132
2007-07,2007,July,Scotland,T101H,NHS Tayside,Dundee City,Ninewells Hospital,Emergency Department,3940,3940,3927,3927,854,9,3038,20,19,0,0,339005.12,730389.6,0.9967005076142132,0.9967005076142132
2007-07,2007,July,Scotland,T202H,NHS Tayside,Perth and Kinross,Perth Royal Infirmary,Emergency Department,2208,2208,2192,2192,389,1,1665,69,84,0,0,310411,723623,0.9927536231884058,0.9927536231884058
2007-07,2007,July,Scotland,T208H,NHS Tayside,NA,NA,Minor Injury Unit or Other,78,78,78,78,0,0,78,0,0,0,0,NA,NA,1,1
2007-07,2007,July,Scotland,T209H,NHS Tayside,Perth and Kinross,Blairgowrie & Rattray Cottage Hospital,Minor Injury Unit or Other,167,167,166,166,9,0,158,0,0,0,0,317409,744585.83,0.9940119760479041,0.9940119760479041
2007-07,2007,July,Scotland,T304H,NHS Tayside,Angus,Arbroath Infirmary,Minor Injury Unit or Other,847,847,846,846,56,0,791,0,0,0,0,363406,740444,0.9988193624557261,0.9988193624557261
2007-07,2007,July,Scotland,T304H,NHS Tayside,Angus,Arbroath Infirmary,Minor Injury Unit or Other,847,847,846,846,56,0,791,0,0,0,0,363406,740444,0.9988193624557261,0.9988193624557261
2007-07,2007,July,Scotland,T305H,NHS Tayside,Angus,Brechin Infirmary,Minor Injury Unit or Other,228,228,228,228,9,0,219,0,0,0,0,360207,760462,1,1
2007-07,2007,July,Scotland,T305H,NHS Tayside,Angus,Brechin Infirmary,Minor Injury Unit or Other,228,228,228,228,9,0,219,0,0,0,0,360207,760462,1,1
2007-07,2007,July,Scotland,T319H,NHS Tayside,Angus,Whitehills Health and Community Care Centre,Minor Injury Unit or Other,504,504,504,504,12,0,492,0,0,0,0,346619,751376,1,1
2007-07,2007,July,Scotland,T319H,NHS Tayside,Angus,Whitehills Health and Community Care Centre,Minor Injury Unit or Other,504,504,504,504,12,0,492,0,0,0,0,346619,751376,1,1
2007-07,2007,July,Scotland,T357C,NHS Tayside,NA,NA,Minor Injury Unit or Other,444,444,444,444,0,0,0,0,444,0,0,NA,NA,1,1
2007-07,2007,July,Scotland,W106H,NHS Western Isles,Western Isles,St Brendans Cot Hospital,Minor Injury Unit or Other,57,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,65926,797989,1,NA
2007-07,2007,July,Scotland,W107H,NHS Western Isles,Western Isles,Western Isles Hospital,Emergency Department,776,776,762,762,168,0,603,0,5,1,0,142692,934195,0.9819587628865979,0.9819587628865979
2007-07,2007,July,Scotland,W108H,NHS Western Isles,Western Isles,Uist & Barra Hospital,Minor Injury Unit or Other,135,NA,135,NA,NA,NA,NA,NA,NA,NA,NA,77740,855235,1,NA
2007-08,2007,August,Scotland,A101H,NHS Ayrshire and Arran,North Ayrshire,Arran War Memorial Hospital,Minor Injury Unit or Other,265,NA,265,NA,NA,NA,NA,NA,NA,NA,NA,203533,632121,1,NA
2007-08,2007,August,Scotland,A111H,NHS Ayrshire and Arran,East Ayrshire,University Hospital Crosshouse,Emergency Department,5655,5655,5508,5508,1987,9,3548,33,78,5,3,240159.8,638520.4,0.9740053050397878,0.9740053050397878
2007-08,2007,August,Scotland,A207H,NHS Ayrshire and Arran,NA,NA,Minor Injury Unit or Other,86,NA,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
2007-08,2007,August,Scotland,A210H,NHS Ayrshire and Arran,South Ayrshire,University Hospital Ayr,Emergency Department,3558,3558,3388,3388,1211,0,2211,77,59,1,0,235861,618224,0.952220348510399,0.952220348510399
2007-08,2007,August,Scotland,B103H,NHS Borders,Scottish Borders,The Knoll Hospital,Minor Injury Unit or Other,14,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,378679,653306,1,NA
2007-08,2007,August,Scotland,B105H,NHS Borders,Scottish Borders,Hawick Community  Hospital,Minor Injury Unit or Other,106,NA,106,NA,NA,NA,NA,NA,NA,NA,NA,349809,614689,1,NA
2007-08,2007,August,Scotland,B114H,NHS Borders,Scottish Borders,Kelso Hospital,Minor Injury Unit or Other,28,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,372790,634491,1,NA
2007-08,2007,August,Scotland,B118H,NHS Borders,Scottish Borders,Hay Lodge Hospital,Minor Injury Unit or Other,122,NA,122,NA,NA,NA,NA,NA,NA,NA,NA,324699,640483,1,NA
2007-08,2007,August,Scotland,B120H,NHS Borders,Scottish Borders,Borders General Hospital,Emergency Department,2005,2005,1993,1993,600,4,1197,34,170,0,0,353342,633789,0.9940149625935162,0.9940149625935162
2007-08,2007,August,Scotland,Y101H,NHS Dumfries and Galloway,Dumfries and Galloway,Castle Douglas Community Hospital,Minor Injury Unit or Other,92,NA,92,NA,NA,NA,NA,NA,NA,NA,NA,276781,562189,1,NA
2007-08,2007,August,Scotland,Y106H,NHS Dumfries and Galloway,Dumfries and Galloway,Kirkcudbright Cottage Hospital,Minor Injury Unit or Other,77,NA,77,NA,NA,NA,NA,NA,NA,NA,NA,268392,550781,1,NA
2007-08,2007,August,Scotland,Y109H,NHS Dumfries and Galloway,Dumfries and Galloway,Moffat Community Hospital,Minor Injury Unit or Other,10,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,309357,605079,1,NA
2007-08,2007,August,Scotland,Y110H,NHS Dumfries and Galloway,Dumfries and Galloway,Newton Stewart Hospital,Minor Injury Unit or Other,62,NA,62,NA,NA,NA,NA,NA,NA,NA,NA,240517,564668,1,NA
2007-08,2007,August,Scotland,Y144H,NHS Dumfries and Galloway,Dumfries and Galloway,Galloway Community Hospital,Emergency Department,1269,NA,1248,NA,NA,NA,NA,NA,NA,NA,NA,206341,560236,0.983451536643026,NA
2007-08,2007,August,Scotland,Y146H,NHS Dumfries and Galloway,Dumfries and Galloway,Dumfries & Galloway Royal Infirmary,Emergency Department,3010,3010,2903,2903,938,3,2005,10,54,2,0,294130,575081,0.9644518272425249,0.9644518272425249
2007-08,2007,August,Scotland,F704H,NHS Fife,Fife,Victoria Hospital,Emergency Department,3877,3877,3745,3745,572,254,2935,49,67,8,3,327977,693093,0.9659530564869745,0.9659530564869745
2007-08,2007,August,Scotland,F708H,NHS Fife,Fife,Adamson Hospital,Minor Injury Unit or Other,155,NA,155,NA,NA,NA,NA,NA,NA,NA,NA,337144,715124,1,NA
2007-08,2007,August,Scotland,F709H,NHS Fife,Fife,St Andrews Community Hospital,Minor Injury Unit or Other,251,NA,250,NA,NA,NA,NA,NA,NA,NA,NA,350283,715321,0.9960159362549801,NA
2007-08,2007,August,Scotland,F805H,NHS Fife,Fife,Queen Margaret Hospital,Emergency Department,3507,3507,3400,3400,712,55,2684,31,25,3,0,311292,688640,0.9694895922440833,0.9694895922440833
2007-08,2007,August,Scotland,V102H,NHS Forth Valley,Falkirk,Falkirk Community Hospital,Minor Injury Unit or Other,1872,1872,1870,1870,0,0,1344,227,301,0,0,288174,679767,0.9989316239316239,0.9989316239316239
2007-08,2007,August,Scotland,V201H,NHS Forth Valley,Clackmannanshire and Stirling,Stirling Community Hospital,Emergency Department,4370,4370,4055,4055,1096,4,2572,38,660,10,0,279698,692139,0.9279176201372997,0.9279176201372997
2007-08,2007,August,Scotland,N101H,NHS Grampian,Aberdeen City,Aberdeen Royal Infirmary,Emergency Department,5421,5421,5261,5261,1278,27,3979,108,29,5,1,391789,807053,0.9704851503412655,0.9704851503412655
2007-08,2007,August,Scotland,N121H,NHS Grampian,Aberdeen City,Royal Aberdeen Children's Hospital,Emergency Department,1412,1412,1402,1402,343,0,1069,0,0,0,0,391919,806977,0.9929178470254958,0.9929178470254958
2007-08,2007,August,Scotland,N151H,NHS Grampian,Aberdeenshire,Aboyne Hospital,Minor Injury Unit or Other,72,NA,72,NA,NA,NA,NA,NA,NA,NA,NA,353599.9,798620.3,1,NA
2007-08,2007,August,Scotland,N331H,NHS Grampian,Aberdeenshire,Inverurie Hospital,Minor Injury Unit or Other,48,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,377208.2,820724.1,1,NA
2007-08,2007,August,Scotland,N332H,NHS Grampian,Aberdeenshire,Insch & District War Memorial Hosp.,Minor Injury Unit or Other,93,NA,93,NA,NA,NA,NA,NA,NA,NA,NA,363140.5,827937.2,1,NA
2007-08,2007,August,Scotland,N333H,NHS Grampian,Aberdeenshire,Peterhead Community Hospital,Minor Injury Unit or Other,1105,NA,1104,NA,NA,NA,NA,NA,NA,NA,NA,412467,845814,0.9990950226244344,NA
2007-08,2007,August,Scotland,N334H,NHS Grampian,Aberdeenshire,Fraserburgh Hospital,Minor Injury Unit or Other,806,NA,802,NA,NA,NA,NA,NA,NA,NA,NA,398932,866421,0.9950372208436724,NA
2007-08,2007,August,Scotland,N335H,NHS Grampian,Aberdeenshire,Jubilee Hospital,Minor Injury Unit or Other,256,NA,256,NA,NA,NA,NA,NA,NA,NA,NA,352657.9,839486.1,1,NA
2007-08,2007,August,Scotland,N336H,NHS Grampian,Aberdeenshire,Turriff Cottage Hospital,Minor Injury Unit or Other,178,NA,178,NA,NA,NA,NA,NA,NA,NA,NA,373102.8,849752.7,1,NA
